Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1835,Kanchanmala Shivkiran Wankhade,DARYAPUR (SC),IND,0,12th Pass,"Rs 1,09,044 ~ 1 Lacs+","Rs 56,000 ~ 56 Thou+"
1836,Kande Suhas (Anna),NANDGAON,IND,0,12th Pass,,
1837,Kanoje Murlidhar Krushna,DINDORI (ST),IND,0,12th Pass,"Rs 70,500 ~ 70 Thou+",Rs 0 ~
1838,Kanoje Prakash Giradhari,NASHIK (CENTRAL),IND,0,12th Pass,"Rs 12,44,000 ~ 12 Lacs+","Rs 85,000 ~ 85 Thou+"
1839,Kanojiya Mahendra Shyamaprasad,DINDOSHI,BSP,0,8th Pass,,
1840,Kantilal Harishchandra Kadu,PANVEL,Lokmudra Janhit Party,3,Graduate,"Rs 15,87,66,400 ~ 15 Crore+","Rs 49,72,330 ~ 49 Lacs+"
1841,Kantilal Kisan Jadhav,IGATPURI (ST),Bharat Adivasi Party,0,12th Pass,"Rs 5,07,000 ~ 5 Lacs+",Rs 0 ~
1842,Kapil Rajabhau Suryavanshi,KALYAN WEST,IND,0,Graduate,,
1843,Kapil Sadalal Bhondekar,BHANDARA (SC),IND,0,Graduate,"Rs 6,48,000 ~ 6 Lacs+",Rs 0 ~
1844,Kapil Shankar Koli (Koli Member),SOLAPUR SOUTH,BSP,1,Post Graduate,"Rs 23,37,000 ~ 23 Lacs+","Rs 3,80,000 ~ 3 Lacs+"
1845,Karade Dhanaji Lahu,HATKANANGLE (SC),IND,0,Others,,
1846,Karam Hussain Kitabullaha Khan,SION KOLIWADA,IND,0,8th Pass,"Rs 1,01,46,000 ~ 1 Crore+",Rs 0 ~
1847,Karan N. Sharma,MEERA BHAYANDAR,IND,0,12th Pass,"Rs 15,61,616 ~ 15 Lacs+",Rs 0 ~
1848,Karan Nanasaheb Gade,CHINCHWAD,IND,0,Others,,
1849,Karan Pradip Chavan,KARJAT JAMKHED,Republican Party of India (A),0,12th Pass,"Rs 68,86,000 ~ 68 Lacs+","Rs 24,90,000 ~ 24 Lacs+"
1850,Karan Sanjay Deotale,WARORA,BJP,0,Post Graduate,"Rs 6,92,28,755 ~ 6 Crore+","Rs 59,90,377 ~ 59 Lacs+"
1851,Karande Madan Yetala,ICHALKARANJI,IND,0,12th Pass,,
1852,Kardile Shivaji Bhanudas,RAHURI,BJP,3,8th Pass,"Rs 40,90,51,739 ~ 40 Crore+","Rs 7,27,02,173 ~ 7 Crore+"
1853,Karemore Raju Manikrao,TUMSAR,NCP,4,12th Pass,"Rs 32,94,30,356 ~ 32 Crore+","Rs 17,44,98,381 ~ 17 Crore+"
1854,Karle Sandesh Tukaram,PARNER,IND,1,Graduate,,
1855,Karuna Dhananjay Munde,BEED,Swarajya Shakti Sena,1,Others,"Rs 9,89,86,064 ~ 9 Crore+","Rs 2,36,00,000 ~ 2 Crore+"
1856,Kasalkar Ravindra Harishchandra,KUDAL,BSP,0,Graduate,"Rs 10,16,112 ~ 10 Lacs+",Rs 0 ~
1857,Kashid Sambhaji Shivaji,BHANDUP WEST,IND,8,12th Pass,,
1858,Kashinath Dagadu Mengal,IGATPURI (ST),MNS,0,12th Pass,"Rs 10,45,38,962 ~ 10 Crore+","Rs 3,86,24,274 ~ 3 Crore+"
1859,Kashinath Mahadu Date Sir,PARNER,NCP,0,Graduate,"Rs 5,07,73,010 ~ 5 Crore+","Rs 1,63,31,966 ~ 1 Crore+"
1860,Kashiram Vechan Pawara,SHIRPUR (ST),BJP,0,Literate,,
1861,Kashyap Bhimrao Meshram,ARJUNI MORGAON (SC),Peoples Party of India (Democratic),0,12th Pass,"Rs 7,24,000 ~ 7 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
1862,Katke Jayashree Sanjay,BADNAPUR (SC),Maharashtra Swarajya party,4,Graduate,"Rs 1,03,49,957 ~ 1 Crore+","Rs 30,25,500 ~ 30 Lacs+"
1863,Katke Narsing Eshwarrao,PIMPRI (SC),IND,0,Post Graduate,,
1864,Kausar Ali Zafar Ali Syed,ANDHERI EAST,Rashtriya Ulama Council,0,8th Pass,"Rs 4,75,050 ~ 4 Lacs+",Rs 0 ~
