Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Ajay Piraji Kamble,UDGIR (SC),IND,0,Graduate,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~
2,Amol Haribhau Jawale,RAVER,BJP,0,Post Graduate,"Rs 13,55,74,362 ~ 13 Crore+","Rs 39,65,284 ~ 39 Lacs+"
3,Dr. Vijay Bhika Pagare,KALYAN  WEST,IND,0,Graduate Professional,,
4,Madhav Narsing Mekewad,BHOKAR,IND,0,Post Graduate,"Rs 11,85,000 ~ 11 Lacs+","Rs 80,000 ~ 80 Thou+"
5,A. Kadir Mastan Sayyed (Goregaonkar),HINGOLI,IND,0,8th Pass,"Rs 7,40,000 ~ 7 Lacs+",Rs 0 ~
6,A. T. Nana Patil,ERANDOL,IND,0,Graduate,,
7,A.Pasha A.Gaffar Khureshi,PARBHANI,IND,0,8th Pass,"Rs 89,30,000 ~ 89 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
8,Aadarsh Ravishankar Thakur,NAGPUR WEST,IND,0,Illiterate,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
9,Aaisha Siddiqua Rauf Baba,MALEGAON CENTRAL,IND,0,5th Pass,,
10,Aakash Bhau Pawar,INDAPUR,Swarajya Nirman Sena,0,Graduate,"Rs 1,51,000 ~ 1 Lacs+",Rs 0 ~
11,Aakhade Anil Narsinh,MOHOL (SC),IND,0,10th Pass,"Rs 37,42,855 ~ 37 Lacs+",Rs 0 ~
12,Aamir Iqbal Natiq,MUMBADEVI,IND,0,10th Pass,,
13,Aannasaheb Satish Bhaskarrao Pawar (Patil),ERANDOL,IND,0,12th Pass,"Rs 6,15,000 ~ 6 Lacs+","Rs 1,10,000 ~ 1 Lacs+"
14,Aarti Prashant Bhosle,THANE,IND,0,Graduate,"Rs 4,27,500 ~ 4 Lacs+","Rs 75,000 ~ 75 Thou+"
15,Aba Bagul,PARVATI,IND,2,10th Pass,,
16,Abbas Ahamad Shaikh,BARSHI,IND,0,5th Pass,"Rs 6,89,815 ~ 6 Lacs+","Rs 10,20,000 ~ 10 Lacs+"
17,Abbas F. Chhatriwala,BYCULLA,IND,0,10th Pass,"Rs 64,74,404 ~ 64 Lacs+",Rs 0 ~
18,Abbas Maidu Shaikh,AURANGABAD CENTRAL,IND,0,12th Pass,,
19,Abbas Musa Shaikh,BEED,Naki Bharatiya Ekta Party,0,Literate,"Rs 1,66,000 ~ 1 Lacs+",Rs 0 ~
20,Abdul Gaffar Quadri Syed,AURANGABAD EAST,SP,5,Post Graduate,"Rs 14,49,73,669 ~ 14 Crore+","Rs 71,00,000 ~ 71 Lacs+"
21,Abdul Hafeez Abdul Aziz,SINDHKHED RAJA,IND,0,12th Pass,,
22,Abdul Hafiz Abdul Gaffar,JALNA,IND,0,10th Pass,"Rs 36,53,71,069 ~ 36 Crore+","Rs 22,87,97,697 ~ 22 Crore+"
23,Abdul Javed Abdul Wahed,KANNAD,IND,1,10th Pass,"Rs 40,64,000 ~ 40 Lacs+","Rs 6,76,000 ~ 6 Lacs+"
24,Abdul Kayyum Abdul Gani,TEOSA,IND,0,Post Graduate,,
25,Abdul Latif Nawaz Ali Shaikh,CHARKOP,IND,0,10th Pass,"Rs 1,18,27,000 ~ 1 Crore+","Rs 30,000 ~ 30 Thou+"
26,Abdul Rahim Hanif Shaikh Naikwadi,PHOLAMBARI,IND,2,10th Pass,"Rs 64,60,000 ~ 64 Lacs+","Rs 2,24,000 ~ 2 Lacs+"
27,Abdul Sattar,SILLOD,Shiv Sena,6,Graduate,,
28,Abdul Sattar A Gaffoor,NANDED NORTH,INC,0,Literate,"Rs 5,95,42,777 ~ 5 Crore+",Rs 0 ~
29,Abdul Sufiyan Sayyad,NAGPUR CENTRAL,IND,0,10th Pass,"Rs 8,600 ~ 8 Thou+",Rs 0 ~
30,Abdulaziz Ahmedsharif Vohara,SANGMNER,Vanchit Bahujan Aaghadi,0,Graduate,,
31,Abdullah Khan Dalsher Khan,MALEGAON CENTRAL,SDPI,2,Others,"Rs 53,53,925 ~ 53 Lacs+",Rs 0 ~
32,Abdullah Khan Latif Khan Durrani (Babajani),PATHRI,IND,2,10th Pass,"Rs 23,68,50,000 ~ 23 Crore+","Rs 1,92,44,000 ~ 1 Crore+"
33,Abdulrauf Alias Jafar Rajjak Mulani,BARAMATI,IND,0,12th Pass,,
34,Abdulrof Alias Rajjak Jafar Mulani,PANDHARPUR,IND,0,12th Pass,"Rs 5,95,000 ~ 5 Lacs+","Rs 9,90,000 ~ 9 Lacs+"
35,Abgul Santosh Sonu,DAPOLI,MNS,0,Graduate,"Rs 1,41,42,694 ~ 1 Crore+","Rs 2,80,936 ~ 2 Lacs+"
36,Abha Bijju Pande,NAGPUR EAST,IND,0,Post Graduate,,
37,Abhay Maroti Dongre,RAJURA,BSP,0,Graduate Professional,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
38,Abhay Satish Salunke,NILANGA,INC,9,12th Pass,"Rs 68,88,549 ~ 68 Lacs+","Rs 75,75,482 ~ 75 Lacs+"
39,Abhijeet Dhananjay Patil,MADHA,NCP-Sharadchandra Pawar,3,10th Pass,,
40,Abhijit Annasaheb Patil,MADHA,IND,0,12th Pass,"Rs 17,80,500 ~ 17 Lacs+",Rs 0 ~
41,Abhijit Dhanwant Patil,MADHA,BSP,0,Graduate,"Rs 66,70,511 ~ 66 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
42,Abhijit Mahadeo Kamble,BARAMATI,IND,2,12th Pass,,
43,Abhijit Tulshiram Patil,MADHA,IND,0,Graduate,"Rs 14,71,650 ~ 14 Lacs+",Rs 0 ~
44,Abhijit Vitthalrao Devsarkar,HADGAON,IND,0,10th Pass,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
45,Abhilasha Chandrashekhar Gajbhiye,DHAMANGAON RAILWAY,IND,0,Post Graduate,,
46,Abhimanyu Dattatray Pawar,AUSA,BJP,1,Post Graduate,"Rs 3,01,32,667 ~ 3 Crore+","Rs 19,95,000 ~ 19 Lacs+"
47,Abhimanyu Shivaji Gavali,VADGAON SHERI,IND,0,12th Pass,"Rs 76,21,000 ~ 76 Lacs+",Rs 0 ~
48,Abhishek Adagonda Patil,ICHALKARANJI,IND,5,Post Graduate,,
49,Abhishek Balasaheb Kalamkar,AHMEDNAGAR CITY,NCP-Sharadchandra Pawar,3,Post Graduate,"Rs 65,35,223 ~ 65 Lacs+","Rs 21,29,568 ~ 21 Lacs+"
50,Abhishek Suresh Patil,SHAHUWADI,Rashtriya Samaj Paksha,1,12th Pass,"Rs 35,000 ~ 35 Thou+","Rs 57,554 ~ 57 Thou+"
51,Abhyankar Sunanda Jayram,ACHALPUR,IND,0,12th Pass,,
52,Abid Raza Mohd Abbas Sayed,MANKHURD SHIVAJINAGAR,IND,0,Graduate Professional,"Rs 1,16,000 ~ 1 Lacs+",Rs 0 ~
53,Abitkar Prakash Anandrao,RADHANAGARI,Shiv Sena,0,Graduate,"Rs 1,60,85,796 ~ 1 Crore+","Rs 18,56,994 ~ 18 Lacs+"
54,Abu Asim Azmi,MANKHURD SHIVAJINAGAR,SP,10,Graduate,,
55,Abu Gaffar M.Ismail,MALEGAON OUTER,IND,0,Literate,"Rs 5,10,000 ~ 5 Lacs+",Rs 0 ~
56,Acharya Navin Vidyadhar,ANUSHAKTI NAGAR,MNS,0,12th Pass,"Rs 5,17,07,622 ~ 5 Crore+",Rs 0 ~
57,Achyut Limbaji Kadam,JINTUR,IND,0,Literate,,
58,Ad. Anil Babu Sonawane,CHINCHWAD,IND,0,Graduate Professional,"Rs 32,000 ~ 32 Thou+",Rs 0 ~
59,Ad. Yogesh Narsingrao Udgirkar,UDGIR (SC),IND,4,Post Graduate,"Rs 2,18,21,222 ~ 2 Crore+","Rs 2,00,000 ~ 2 Lacs+"
60,Adam Narsayya Narayan,SOLAPUR CITY CENTRAL,CPI(M),38,8th Pass,,
61,Aditi Sunil Tatkare,SHRIVARDHAN,NCP,0,Post Graduate,"Rs 3,41,30,158 ~ 3 Crore+",Rs 0 ~
62,Aditya Laxmikant Deshmukh,NANDED SOUTH,IND,0,Post Graduate,"Rs 45,000 ~ 45 Thou+",Rs 0 ~
63,Aditya Uddhav Thackeray,WORLI,Shiv Sena (Uddhav Balasaheb Thackeray),1,Graduate Professional,,
64,Admane Dinesh Dattatray,BADNAPUR (SC),Republican Sena,1,12th Pass,"Rs 1,20,000 ~ 1 Lacs+","Rs 60,000 ~ 60 Thou+"
65,Adsad Pratap Arunbhau,DHAMANGAON RAILWAY,BJP,1,Graduate Professional,"Rs 5,35,47,145 ~ 5 Crore+","Rs 43,44,218 ~ 43 Lacs+"
66,Adv Ambadas Sopanrao Jadhav,GEORAI,IND,0,Graduate Professional,,
67,Adv Ansari Raees Ahmad Abdul Qadir,DHULE CITY,IND,0,Graduate Professional,"Rs 80,000 ~ 80 Thou+",Rs 0 ~
68,Adv Bharat Aasaram Fulare,GANGAPUR,Rashtriya Maratha Party,0,Post Graduate,"Rs 98,69,032 ~ 98 Lacs+","Rs 32,30,360 ~ 32 Lacs+"
69,Adv Chatap Wamanrao Sadashiv,RAJURA,Swatantra Bharat Paksha,3,Graduate Professional,,
70,Adv Jameer Kalandar Shaikh,KARMALA,IND,0,Post Graduate,"Rs 19,45,000 ~ 19 Lacs+",Rs 0 ~
71,Adv K C Padavi,AKKALKUWA (ST),INC,0,Post Graduate,"Rs 6,72,04,649 ~ 6 Crore+","Rs 69,58,309 ~ 69 Lacs+"
72,Adv Kanchankanhoja Dhondiram Kharat,PHALTAN (SC),IND,0,Post Graduate,,
73,Adv Krushnabai Dipak Chougale,KAGAL,IND,0,Graduate Professional,"Rs 20,50,000 ~ 20 Lacs+",Rs 0 ~
74,Adv Om Shriram Bhalerao,MEHKAR (SC),IND,0,Graduate Professional,"Rs 7,000 ~ 7 Thou+",Rs 0 ~
75,Adv Pranit Shamrao Dikale,OSMANABAD,Vanchit Bahujan Aaghadi,0,Post Graduate,,
76,Adv Rahul Suresh Narwekar,COLABA,BJP,1,Graduate Professional,"Rs 1,29,81,08,003 ~ 129 Crore+","Rs 84,68,89,918 ~ 84 Crore+"
77,Adv Sanjiv Devrao Pradhan,GANGAKHED,IND,0,Graduate Professional,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
78,Adv Sayyed Mubeen Sayyed Naeem,SINDHKHED RAJA,IND,1,Graduate Professional,,
79,Adv Shahadev Janoo Bhandare,ASHTI,Vikas India Party,0,Graduate Professional,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~
80,Adv Shankar Sheshrao Chavan,CHIKHLI,BSP,4,Graduate Professional,"Rs 27,68,300 ~ 27 Lacs+","Rs 59,20,000 ~ 59 Lacs+"
81,Adv Sujata Vidhyasagar Wankhade,AKOT,BSP,0,Post Graduate,,
82,Adv Uttamkumar Alias Bhaina Nakul Sajani Sahu,KALINA,IND,0,Post Graduate,"Rs 1,01,28,001 ~ 1 Crore+",Rs 0 ~
83,Adv. Abhijeet Dilip Khandare,HINGOLI,IND,0,Graduate Professional,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
84,Adv. Abhishek Shivpujan Mishra,KALINA,Rashtriya Swarajya Sena,1,Graduate Professional,,
85,Adv. Advait Dewdatta Gawde,GOREGAON,IND,0,Graduate Professional,"Rs 6,64,000 ~ 6 Lacs+","Rs 3,41,130 ~ 3 Lacs+"
86,Adv. Afroz Mulla,HADAPSAR,Vanchit Bahujan Aaghadi,1,Post Graduate,"Rs 56,83,000 ~ 56 Lacs+","Rs 33,00,000 ~ 33 Lacs+"
87,Adv. Afzal Baig Sahab,PARBHANI,IND,3,Post Graduate,,
88,Adv. Ajay Datta Atram,ARNI (ST),IND,0,Graduate Professional,"Rs 7,17,251 ~ 7 Lacs+",Rs 0 ~
89,Adv. Anil Hiraman Dhupe,AURANGABAD WEST (SC),Hindustan Janta Party,0,Post Graduate,"Rs 10,74,868 ~ 10 Lacs+","Rs 2,93,000 ~ 2 Lacs+"
90,Adv. Anjali Babanrao Sable (Pansare),PHOLAMBARI,IND,0,Post Graduate,,
91,Adv. Arunkumar Khedia,MEERA BHAYANDAR,Rashtriya Swarajya Sena,0,Post Graduate,"Rs 18,93,852 ~ 18 Lacs+",Rs 0 ~
92,Adv. Ashish Pradeep Sohani,VERSOVA,Rashtriya Swarajya Sena,0,Post Graduate,"Rs 47,97,913 ~ 47 Lacs+","Rs 41,58,000 ~ 41 Lacs+"
93,Adv. Ashish Shelar,VANDRE  WEST,BJP,1,Graduate Professional,,
94,Adv. Ashwin Vinayak Jawade,NAGPUR NORTH (SC),IND,6,Post Graduate,"Rs 3,99,62,224 ~ 3 Crore+","Rs 18,69,500 ~ 18 Lacs+"
95,Adv. Ashwinikumar Ramdarash Pathak,SION KOLIWADA,IND,0,Graduate Professional,"Rs 11,23,618 ~ 11 Lacs+",Rs 0 ~
96,Adv. Asma Shaikh,KURLA (SC),All India Majlis-E-Ittehadul Muslimeen,3,Graduate Professional,,
97,Adv. Athawale Sanjay Gopalrao,AKOLA EAST,IND,0,Graduate Professional,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
98,Adv. Babangir Uttamgir Gosawi,AURANGABAD CENTRAL,Hindustan Janta Party,0,Post Graduate,"Rs 1,03,43,000 ~ 1 Crore+","Rs 18,67,720 ~ 18 Lacs+"
99,Adv. Bhagwan Ishwar Dandi,AKOLA WEST,IND,0,Post Graduate,,
100,Adv. Bhaskar Budhaji Parab,DINDOSHI,MNS,7,Graduate Professional,"Rs 2,23,71,721 ~ 2 Crore+","Rs 51,92,780 ~ 51 Lacs+"
101,Adv. Dhakne Prataprao Babanrao,SHEVGAON,NCP-Sharadchandra Pawar,2,Graduate Professional,"Rs 19,53,06,825 ~ 19 Crore+","Rs 85,48,156 ~ 85 Lacs+"
102,Adv. Dhananjay Bappasaheb Jogdand,KALYAN EAST,IND,0,Graduate Professional,,
103,Adv. Dhiraj Shamrao Pazare,NAGPUR WEST,IND,0,Graduate Professional,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~
104,Adv. Dinkar Ganpati Ghode,SHAHUWADI,IND,0,Graduate Professional,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
105,Adv. Dr. Gowardhan Namdeo Somdeve,RAMTEK,All India Forward Bloc,0,Doctorate,,
106,Adv. Eknath Dnyanoba Gajile,AHMEDPUR,IND,0,Post Graduate,"Rs 20,37,000 ~ 20 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
107,Adv. Gaikwad Ramesh Shrirangrao,AHMEDPUR,BSP,0,Post Graduate,"Rs 7,71,000 ~ 7 Lacs+",Rs 0 ~
108,Adv. Gangadhar Ramrao Sawate,HADGAON,IND,0,Post Graduate,,
109,Adv. Govind Jankiram Tiwari,JALGAON CITY,IND,0,Post Graduate,"Rs 74,90,830 ~ 74 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
110,Adv. Hitesh Jaikishan Jeswani,ULHASNAGAR,IND,0,Graduate,"Rs 33,93,223 ~ 33 Lacs+","Rs 24,78,456 ~ 24 Lacs+"
111,Adv. Imtiyaz Khan,PARBHANI,All India Majlis-E-Ittehadul Muslimeen,3,Graduate Professional,,
112,Adv. Jeetesh S. Varshney,DINDOSHI,Rashtriya Swarajya Sena,0,Post Graduate,"Rs 27,000 ~ 27 Thou+",Rs 0 ~
113,Adv. Kailash Natthuji Waghmare,NAGPUR CENTRAL,IND,0,Graduate Professional,"Rs 5,98,850 ~ 5 Lacs+","Rs 70,000 ~ 70 Thou+"
114,Adv. Khadse Rohini Eknathrao,MUKTAINAGAR,NCP-Sharadchandra Pawar,0,Post Graduate,,
115,Adv. Kiran Laxman Manjare,BARSHI,IND,0,Post Graduate,"Rs 1,00,65,910 ~ 1 Crore+","Rs 1,90,048 ~ 1 Lacs+"
116,Adv. Kokate Manikrao Shivaji,SINNAR,NCP,1,Graduate Professional,"Rs 48,36,41,839 ~ 48 Crore+","Rs 7,75,46,689 ~ 7 Crore+"
117,Adv. Lata Pandurang Shinde,VERSOVA,IND,0,Graduate Professional,,
118,Adv. Mahendra Dadasaheb Shinde,SHRIGONDA,BSP,0,Post Graduate,"Rs 1,42,281 ~ 1 Lacs+","Rs 90,329 ~ 90 Thou+"
119,Adv. Mahendra Tulshiram Bhingardive,ANUSHAKTI NAGAR,BSP,0,Graduate Professional,"Rs 1,71,73,082 ~ 1 Crore+",Rs 0 ~
120,Adv. Mahesh Numaji Lavulkar,MAJALGAON,Peoples Party of India (Democratic),0,Graduate Professional,,
121,Adv. Manik Shinde,KARVIR,IND,1,Graduate Professional,"Rs 15,51,000 ~ 15 Lacs+","Rs 22,000 ~ 22 Thou+"
122,Adv. Manikrao Madhavrao Shinde,YEVLA,NCP-Sharadchandra Pawar,2,Graduate Professional,"Rs 4,32,76,750 ~ 4 Crore+","Rs 3,62,40,556 ~ 3 Crore+"
123,Adv. Manojkumar Uttam Surwase,MALSHIRAS (SC),IND,0,Graduate Professional,,
124,Adv. Mehmood Khan,NAGPUR SOUTH WEST,IND,0,Graduate Professional,"Rs 51,300 ~ 51 Thou+",Rs 0 ~
125,Adv. Metkari Bapu Dada,PANDHARPUR,IND,0,Graduate Professional,"Rs 66,00,312 ~ 66 Lacs+","Rs 18,00,000 ~ 18 Lacs+"
126,Adv. Milind Ravindra Dhage,KALYAN EAST,BSP,0,Post Graduate,,
127,Adv. Minaltai Dadasaheb Sathe,MADHA,NCP,0,Post Graduate,"Rs 17,02,14,111 ~ 17 Crore+","Rs 10,56,41,784 ~ 10 Crore+"
128,Adv. Mitesh Varshney,GOREGAON,Rashtriya Swarajya Sena,0,Post Graduate,"Rs 5,28,091 ~ 5 Lacs+",Rs 0 ~
129,Adv. Mohsin Umar Shaikh,MEERA BHAYANDAR,IND,0,Graduate Professional,,
130,Adv. N. G. Khan,NANDED NORTH,Desh Janhit Party,0,Graduate Professional,"Rs 2,00,000 ~ 2 Lacs+","Rs 18,00,000 ~ 18 Lacs+"
131,Adv. Narayanrao Dinbaji Jambhule,BRAMHAPURI,Swabhimani Paksha,0,Post Graduate,"Rs 1,66,90,000 ~ 1 Crore+","Rs 14,47,251 ~ 14 Lacs+"
132,Adv. Narayanrao Dinbaji Jambhule,CHIMUR,Swabhimani Paksha,0,Post Graduate,,
133,Adv. Naseem Taukir Alam,HINGNA,Peoples Party of India (Democratic),0,12th Pass,"Rs 41,115 ~ 41 Thou+",Rs 0 ~
134,Adv. Nityanand Ramjatan Sharma,GHATKOPAR EAST,IND,0,Post Graduate,"Rs 86,90,000 ~ 86 Lacs+","Rs 28,34,566 ~ 28 Lacs+"
135,Adv. Omkar Ankush Yenpure,KASBA PETH,Maharashtra Swarajya party,0,Graduate Professional,,
136,Adv. Pandurang Sambhaji Rayate,INDAPUR,IND,0,Graduate Professional,"Rs 1,05,79,500 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+"
137,Adv. Pankaj Manikrao Shambharkar,NAGPUR SOUTH WEST,Bhim Sena,0,Graduate,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
138,Adv. Pooja Bibhishan Dede,TULJAPUR,IND,0,10th Pass,,
139,Adv. Pradeep Rohidas Sonawane,ANDHERI EAST,Rashtriya Swarajya Sena,0,Post Graduate,"Rs 3,54,50,502 ~ 3 Crore+","Rs 25,00,000 ~ 25 Lacs+"
140,Adv. Pradeep Vade,VANDRE EAST,IND,0,Post Graduate,"Rs 88,48,650 ~ 88 Lacs+",Rs 0 ~
141,Adv. Pradip Shalikram Somkuwar,SAVNER,Bharatiya Yuva Jan Ekta Party,0,Post Graduate,,
142,Adv. Prashant Bhika Khare,NASHIK  WEST,IND,0,Graduate Professional,"Rs 4,37,418 ~ 4 Lacs+","Rs 5,29,750 ~ 5 Lacs+"
143,Adv. Raakesh Sambhaji Raul,GHATKOPAR  WEST,IND,0,Graduate Professional,"Rs 8,492 ~ 8 Thou+",Rs 0 ~
144,Adv. Raj Chandwani,ULHASNAGAR,IND,7,Post Graduate,,
145,Adv. Rajguru Balkrishna Kadam,SION KOLIWADA,Vanchit Bahujan Aaghadi,0,Graduate Professional,"Rs 27,02,000 ~ 27 Lacs+","Rs 19,00,000 ~ 19 Lacs+"
146,Adv. Rajkumar Soni,ULHASNAGAR,IND,0,Graduate Professional,"Rs 93,59,512 ~ 93 Lacs+","Rs 12,97,336 ~ 12 Lacs+"
147,Adv. Raju Bakshi Jamnekar,MORSHI,Jan Janwadi Party,0,Post Graduate,,
148,Adv. Raju Madhukarrao Kalane,DARYAPUR (SC),IND,0,Graduate Professional,"Rs 46,000 ~ 46 Thou+",Rs 0 ~
149,Adv. Riyaz Ahmed Nisar Ahmed Siddiqui,AHMEDPUR,Janhit Lokshahi Party,1,Post Graduate,"Rs 28,90,152 ~ 28 Lacs+","Rs 9,63,605 ~ 9 Lacs+"
150,Adv. Rohit More,SOLAPUR CITY CENTRAL,IND,0,Graduate Professional,,
151,Adv. Rupali Bapu Bhadke,BHANDUP  WEST,IND,3,Graduate Professional,"Rs 42,99,618 ~ 42 Lacs+","Rs 29,80,000 ~ 29 Lacs+"
152,Adv. Sachin Jagdish Nimgade,NAGPUR SOUTH,IND,0,Graduate Professional,"Rs 1,07,884 ~ 1 Lacs+","Rs 25,000 ~ 25 Thou+"
153,Adv. Sahebrao Kisanrao Sirsath,HINGOLI,BSP,0,Graduate Professional,,
154,Adv. Sahebrao Madhavrao Pandit,BHOKARDAN,Hindustan Janta Party,0,Graduate Professional,"Rs 54,84,476 ~ 54 Lacs+","Rs 12,67,650 ~ 12 Lacs+"
155,Adv. Sandeep Dattu Katke,DHARAVI (SC),IND,2,Post Graduate,"Rs 1,70,50,328 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+"
156,Adv. Sanjay Bapu Chandanshive,INDAPUR,IND,0,Post Graduate,,
157,Adv. Sanjay Raghunath Raundale,JALNA,IND,0,Graduate Professional,"Rs 21,26,577 ~ 21 Lacs+","Rs 29,70,000 ~ 29 Lacs+"
158,Adv. Sanjay Raghunath Wankhade,DARYAPUR (SC),IND,2,Graduate Professional,"Rs 5,01,51,000 ~ 5 Crore+","Rs 6,108 ~ 6 Thou+"
159,Adv. Sanjeevkumar Apparav Kalkori,ANDHERI EAST,Vanchit Bahujan Aaghadi,0,Graduate Professional,,
160,Adv. Santosh Kashinath Mimrot,BADNAPUR (SC),IND,2,Post Graduate,"Rs 30,99,300 ~ 30 Lacs+","Rs 28,29,000 ~ 28 Lacs+"
161,Adv. Satish Bhaurao Ausarmal,AMBARNATH (SC),Rashtriya Maratha Party,0,Graduate Professional,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
162,Adv. Satyawan Pandharinath Bhagat,URAN,MNS,2,Graduate Professional,,
163,Adv. Shahajibapu Rajaram Patil,SANGOLA,Shiv Sena,1,Graduate Professional,"Rs 55,78,501 ~ 55 Lacs+",Rs 0 ~
164,Adv. Shaikh Usman Shaikh Taher,SILLOD,All India Forward Bloc,0,Graduate Professional,"Rs 99,41,487 ~ 99 Lacs+","Rs 4,08,000 ~ 4 Lacs+"
165,Adv. Shilpa Goutam Alias Gaautami,VANDRE EAST,Rashtriya Swarajya Sena,0,Post Graduate,,
166,Adv. Shirish Milindrao Kamble,KAIJ (SC),IND,1,Post Graduate,"Rs 38,08,393 ~ 38 Lacs+",Rs 0 ~
167,Adv. Shrikant Shinde,VIKHROLI,Swabhimani Paksha,0,Post Graduate,"Rs 27,85,745 ~ 27 Lacs+","Rs 8,52,810 ~ 8 Lacs+"
168,Adv. Sirsath Fakira Hari,BHOKARDAN,Peoples Party of India (Democratic),1,Graduate Professional,,
169,Adv. Suchit Suresh Gaikwad,NALASOPARA,Vanchit Bahujan Aaghadi,0,Graduate Professional,"Rs 5,39,570 ~ 5 Lacs+",Rs 0 ~
170,Adv. Tosif Chand Shaikh,HADAPSAR,Aazad Samaj Party (Kanshi Ram),4,Graduate Professional,"Rs 16,85,700 ~ 16 Lacs+",Rs 0 ~
171,Adv. Trisheel Vijay Khobragade,NAGPUR NORTH (SC),Ambedkarite Party of India,0,Graduate Professional,,
172,Adv. Tukaram Baliram Raut,MADHA,IND,0,Graduate Professional,"Rs 35,15,000 ~ 35 Lacs+",Rs 0 ~
173,Adv. Uttamkumar (Bhaina) Nakul Sajani Sahu,CHANDIVALI,IND,0,Post Graduate,"Rs 1,01,28,001 ~ 1 Crore+",Rs 0 ~
174,Adv. Viraj Ramchandra Gadag,PALGHAR (ST),IND,2,Graduate Professional,,
175,Adv. Vishal Ghansham Ghobale,KAIJ (SC),IND,2,Post Graduate,"Rs 1,12,56,278 ~ 1 Crore+",Rs 0 ~
176,Adv. Vishal Shankar Sonawane,SHIRUR,BSP,0,Post Graduate,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~
177,Adv. Vivekkumar Tiwari,COLABA,IND,0,Post Graduate,,
178,Adv. Yash Suhas Hegadepatil,KOLHAPUR SOUTH,IND,0,Post Graduate,"Rs 6,26,466 ~ 6 Lacs+",Rs 0 ~
179,Adv. Yashomati Chandrakant Thakur,TEOSA,INC,5,Graduate Professional,"Rs 10,24,59,065 ~ 10 Crore+","Rs 4,00,000 ~ 4 Lacs+"
180,Adv.B.K. Kamble,PIMPRI (SC),IND,0,Post Graduate,,
181,Adv.Bhaskar Bansi Magare,GANSAVANGI,IND,2,Graduate Professional,"Rs 1,06,20,480 ~ 1 Crore+","Rs 12,50,000 ~ 12 Lacs+"
182,Adv.Datta Dnyandev Ambhore,NASHIK EAST,Peoples Party of India (Democratic),0,Post Graduate,"Rs 70,000 ~ 70 Thou+",Rs 0 ~
183,Adv.Girish Madan Patil,INDAPUR,Maharashtra Vikas Aghadi,0,Graduate Professional,,
184,Adv.Gurudev Narsing Surywanshi,UDGIR (SC),IND,0,Graduate Professional,"Rs 4,03,000 ~ 4 Lacs+",Rs 0 ~
185,Adv.Kishor Nana Shinde,KOTHRUD,MNS,2,Post Graduate,"Rs 3,39,24,370 ~ 3 Crore+","Rs 23,02,817 ~ 23 Lacs+"
186,Adv.Krushnabai Dipak Chougale,KARVIR,IND,0,Graduate Professional,,
187,Adv.Pradip Deva Rathod,KINWAT,IND,1,Graduate Professional,"Rs 29,35,000 ~ 29 Lacs+","Rs 1,53,384 ~ 1 Lacs+"
188,Adv.Rahul Damodhar Gavai,RISOD,BSP,0,Graduate Professional,"Rs 10,43,477 ~ 10 Lacs+",Rs 0 ~
189,Adv.Rahul Uttamrao Dhikale,NASHIK EAST,BJP,1,Graduate Professional,,
190,Adv.Revan Vishwanath Bhosale,PARANDA,SP,0,Graduate Professional,"Rs 3,85,74,744 ~ 3 Crore+","Rs 34,00,000 ~ 34 Lacs+"
191,Adv.Sachin Mahipati Sonawane,PIMPRI (SC),IND,0,Post Graduate,"Rs 12,65,000 ~ 12 Lacs+",Rs 0 ~
192,Adv.Sanjay Shivram Ingole,RISOD,IND,1,Post Graduate,,
193,Adv.Siddhesh Nanda K. Avhad,MULUND,BSP,0,Graduate Professional,"Rs 5,000 ~ 5 Thou+",Rs 0 ~
194,Adv.Yogesh Dattu Gullapelli,JALNA,All India Forward Bloc,0,Post Graduate,"Rs 19,58,448 ~ 19 Lacs+",Rs 0 ~
195,Advay (Aaba) Prashant Hiray,MALEGAON OUTER,Shiv Sena (Uddhav Balasaheb Thackeray),14,Doctorate,,
196,Advocate Hindurao Dadu Patil Alias Adv. H.D.Patil,THANE,Rashtriya Maratha Party,0,Post Graduate,"Rs 6,75,000 ~ 6 Lacs+",Rs 0 ~
197,Advocate Santosh Tulshiram Chavhan,NAGPUR NORTH (SC),Vikas India Party,0,Post Graduate,"Rs 81,80,203 ~ 81 Lacs+",Rs 0 ~
